gene	Counts
MTF2	23
MTFR1L	1
MTOR-AS1	0
MTR	6
MTX1	0
NASP	28
NAV1	0
NBL1	0
NBPF10	0
NBPF12	0
NBPF15	0
NBPF18P	0
NBPF20	0
NBPF25P	0
NBPF3	0
NBPF6	0
NBPF8	0
NBPF9	0
NCDN	1
NCMAP	0
NCSTN	1
NDUFS2	1
NDUFS5	0
NECAP2	7
NEK7	1
NENF	0
NEXN	0
NFASC	0
NFIA	0
NFYC	4
NHLH1	0
NIPAL3	0
NIT1	0
NLRP3	0
NMNAT1	0
NOS1AP	2
NOTCH2NL	1
NPL	1
NPPA-AS1	0
NPR1	0
NR5A2	0
NSUN4	1
NTNG1	0
NTPCR	0
NTRK1	0
NUDC	2
NUF2	12
OAZ3	0
OBSCN	0
OCLM	0
OLFML3	0
OPRD1	0
OPTC	0
OR10J1	0
OR10K1	0
OR10R2	0
OR10Z1	0
OR14C36	0
OR2AK2	0
OR2G2	0
OR2G3	0
OR2G6	0
OR2L13	0
OR2L1P	0
OR2L2	1
OR2L3	0
OR2L5	0
OR2L8	0
OR2M1P	0
OR2M2	0
OR2M3	0
OR2M4	0
OR2M5	0
OR2T1	0
OR2T2	0
OR2T3	0
OR2T4	1
OR2T5	0
OR2T6	0
OR2T8	0
OR2W3	0
OR2W5	0
OR4F16	0
OR4F29	0
OR4F3	0
OR4F5	0
OR6K6	0
OSBPL9	4
OTUD3	12
OVAAL	0
PADI1	0
PADI3	0
PADI4	0
PADI6	6
PALMD	0
PAPPA2	0
PARK7	2
PAX7	0
PBX1	0
PCAT6	0
PCP4L1	149
PCSK9	0
PDE4B	0
PDIA3P1	0
PDIK1L	0
PDPN	6
PDZK1	1
PEA15	0
PEAR1	0
PER3	1
PEX11B	4
PEX14	1
PFKFB2	2
PGBD2	0
PGD	9
PGM1	1
PHACTR4	1
PHF13	9
PHGDH	0
PIAS3	0
PIFO	0
PIGV	0
PIK3CD	0
PIN1P1	0
PINK1	0
PIP5K1A	0
PITHD1	8
PKN2	2
PKP1	0
PLA2G2F	0
PLA2G4A	0
PLA2G5	0
PLCH2	0
PLEKHM2	5
PLEKHN1	0
PLEKHO1	2
PLK3	1
PLOD1	0
PMF1	0
PMF1-BGLAP	0
PNRC2	1
PODN	0
POGK	0
POU2F1	8
POU5F1P4	0
PPCS	0
PPFIA4	0
PPIAL4B	0
PPIAL4C	0
PPIAL4D	0
PPIAL4E	0
PPIAL4F	0
PPIE	0
PPIH	0
PPOX	0
PPP1R12B	0
PPP1R8	0
PPP2R5A	0
PQLC2	0
PRAMEF1	0
PRAMEF10	0
PRAMEF12	0
PRAMEF15	0
PRAMEF16	0
PRAMEF17	0
PRAMEF2	0
PRAMEF20	0
PRAMEF22	0
PRAMEF5	0
PRAMEF6	0
PRAMEF7	0
PRAMEF8	0
PRCC	5
PRDM16	0
PRDM2	9
PRDX6	2
PRELP	0
PRG4	1
PRKAA2	0
PRKACB	0
PRKCZ	0
PRMT6	0
PROK1	0
PROX1	0
PRPF3	1
PRPF38A	4
PRPF38B	3
PRR9	0
PRRC2C	27
PRRX1	0
PRSS38	0
PRUNE	1
PSEN2	5
PSMB4	3
PSMD4	1
PTBP2	0
PTCHD2	0
PTGFR	0
PTGFRN	1
PTPRC	0
PTPRF	1
PTPRU	0
PTPRVP	0
PUSL1	0
PYHIN1	0
QSOX1	0
RAB25	0
RAB42	0
RAB4A	0
RABGAP1L	1
RABGGTB	0
RAD54L	2
RALGPS2	0
RAP1A	2
RASAL2	1
RASSF5	3
RAVER2	0
RBBP4	10
RBM15	1
RBM8A	1
RBP7	0
RCAN3	0
RCC1	1
RCOR3	1
RCSD1	0
RER1	1
RGL1	0
RGS1	0
RGS13	0
RGS18	0
RGS2	553
RGS21	0
RGS4	0
RGSL1	0
RHBG	0
RHD	0
RHOU	0
RIIAD1	6
RIMKLA	13
RLF	12
RNF11	0
RNF115	0
RNF187	5
RNF2	2
RNF207	0
RNF220	1
RNPC3	2
RNPEP	0
RNU11	0
RNU5F-1	0
RNU6-2	0
RNVU1-19	0
RNVU1-20	0
ROR1	0
RPAP2	2
RPF1	5
RPL11	16
RPL5	17
RPRD2	5
RPS10P7	0
RPS14P3	0
RPS27	2
RPS6KA1	0
RPS6KC1	1
RPS7P5	0
RPS8	15
RRNAD1	0
RRP15	3
RSC1A1	0
RTCA	1
RUSC1	0
RWDD3	0
RXFP4	0
RYR2	2
S100A1	0
S100A7A	0
S100A9	0
S100PBP	1
S1PR1	0
SAMD11	0
SAMD13	0
SARS	2
SCARNA1	0
SCARNA2	0
SCCPDH	1
SCNM1	2
SCNN1D	0
SCP2	1
SDCCAG8	7
SDHC	2
SEC22B	0
SEMA4A	0
SEPN1	1
SERINC2	0
SERTAD4	0
SESN2	5
SETDB1	6
SFN	0
SFT2D2	0
SGIP1	0
SH3BGRL3	0
SH3D21	0
SH3GLB1	6
SHISA4	0
SKI	4
SLAMF7	0
SLAMF8	0
SLC16A1-AS1	0
SLC22A15	0
SLC25A33	0
SLC25A34	0
SLC25A44	2
SLC27A3	0
SLC2A1-AS1	0
SLC30A7	3
SLC35A3	0
SLC35F3	0
SLC44A3	0
SLC45A1	0
SLC50A1	0
SLC5A9	0
SLC6A17	0
SLFNL1-AS1	0
SMAP2	0
SMCP	0
SMG7	5
SMIM1	0
SMPDL3B	0
SMYD2	0
SNAP47	0
SNAPIN	0
SNHG3	0
SNORA16B	0
SNORA59A	0
SNORA59B	0
SNORA66	0
SNORA77	0
SNORD21	0
SNORD38A	0
SNORD38B	0
SNORD45A	0
SNORD45B	0
SNORD45C	0
SNORD46	0
SNORD55	0
SNRPE	10
SNX27	2
SNX7	0
SOAT1	0
SOX13	2
SPATA17	0
SPATA42	0
SPEN	2
SPHAR	0
SPRR1A	0
SPRR1B	0
SPRR3	0
SPRR4	0
SPRTN	4
SPSB1	3
SRGAP2	0
SRGAP2B	0
SRGAP2C	0
SRGAP2D	0
SRP9	0
SRRM1	6
SRSF11	47
SSBP3-AS1	0
ST3GAL3	0
ST6GALNAC3	0
ST6GALNAC5	1
STRIP1	1
STX12	4
STXBP3	1
SUCO	2
SUMO1P3	1
SWT1	1
SYCP1	0
SYPL2	1
SYT11	0
SYT14	1
SYTL1	0
SZRD1	2
SZT2	0
TAF1A-AS1	1
TARDBP	10
TARS2	0
TAS1R1	0
TAS1R3	0
TATDN3	0
TBCE	0
TBX19	0
TCEANC2	1
TCEB3	7
TCTEX1D1	0
TDRD10	0
TDRD5	1
TEKT2	0
TEX35	0
TEX38	0
TFAP2E	0
TGFB2	0
TGFB2-OT1	0
THAP3	0
THEMIS2	0
THRAP3	4
TIE1	0
TIMM17A	2
TINAGL1	0
TIPRL	1
TMCC2	5
TMCO2	0
TMEM125	0
TMEM167B	0
TMEM183A	0
TMEM183B	0
TMEM201	0
TMEM222	0
TMEM39B	0
TMEM50A	3
TMEM51	2
TMEM56	1
TMEM56-RWDD3	0
TMEM57	6
TMEM61	1
TMEM69	8
TMEM79	0
TMEM82	0
TMEM88B	0
TNFAIP8L2	0
TNFAIP8L2-SCNM1	0
TNFRSF14	0
TNFRSF1B	1
TNFRSF8	0
TNN	0
TNNI3K	0
TOE1	0
TOMM40L	0
TOP1P1	0
TOR1AIP1	0
TOR3A	2
TP73	0
TPRG1L	0
TRAF3IP3	0
TRAF5	0
TRIM46	0
TRIM58	1
TRIM67	0
TRMT13	0
TRNAU1AP	0
TRNP1	0
TROVE2	1
TSACC	0
TSEN15	0
TSHB	0
TSNAX	4
TSNAX-DISC1	2
TSPAN1	0
TSSK3	0
TTC24	0
TTC39A-AS1	0
TTC4	2
TTF2	5
TTLL10	0
TUFT1	0
TXLNA	0
TXNIP	0
TYW3	2
UAP1	0
UBAP2L	1
UBE2U	0
UBE4B	0
UBIAD1	4
UBL4B	0
UBXN10	0
UCK2	1
UFC1	2
UHMK1	6
UQCRH	0
URB2	0
UROD	0
USP1	20
USP21	1
UTP11L	2
VAMP3	5
VANGL1	3
VANGL2	0
VASH2	0
VAV3-AS1	0
VCAM1	0
VN1R5	0
VPS13D	1
VPS45	1
VWA1	0
VWA5B1	0
WDR3	0
WDR63	0
WDR64	0
WDR65	0
WDTC1	2
WNT2B	0
WNT3A	0
XCL1	0
XKR8	1
XPR1	3
YBX1	2
YTHDF2	4
ZBED6	1
ZBTB18	0
ZBTB37	0
ZBTB40	2
ZBTB48	0
ZBTB7B	0
ZBTB8A	0
ZBTB8B	2
ZC3H11A	0
ZC3H12A	1
ZCCHC17	23
ZDHHC18	0
ZFP69	0
ZFP69B	0
ZFYVE9	3
ZMPSTE24	4
ZMYM1	0
ZMYM4	3
ZNF326	0
ZNF362	1
ZNF593	2
ZNF672	2
ZNF678	0
ZNF684	0
ZNF687	0
ZNF691	0
ZRANB2-AS1	0
ZRANB2-AS2	0
ZSCAN20	0
ZYG11A	1
ZYG11B	0
ABCC2	0
ACADSB	0
ACSL5	2
ACSM6	0
ACTA2-AS1	0
ACTR3BP5	0
ADAMTS14	0
ADARB2-AS1	0
ADD3	85
ADIRF	0
ADK	0
ADO	8
ADRA2A	0
ADRB1	0
AGAP11	0
AGAP6	0
AGAP9	0
AKR1C1	0
AKR1C3	0
AKR1C4	0
AKR1E2	0
ALOX5	0
ANAPC16	2
ANKRD2	0
ANKRD30A	0
ANKRD30BP3	0
ANTXRL	0
ANXA2P3	0
ANXA8	0
ANXA8L1	0
APBB1IP	0
ARID5B	0
ARL5B	0
ARMC3	0
ARMS2	0
AS3MT	0
ASAH2B	0
ATE1-AS1	0
ATP5C1	3
ATRNL1	1
BAG3	0
BAMBI	0
BCCIP	5
BEND3P3	0
BICC1	2
BMI1	0
BMPR1A	1
BMS1	3
BMS1P6	0
BTAF1	0
BTBD16	0
BTRC	9
BUB3	2
C10orf107	0
C10orf11	0
C10orf12	2
C10orf126	0
C10orf131	0
C10orf2	0
C10orf32	0
C10orf32-ASMT	0
C10orf35	1
C10orf53	0
C10orf62	0
C10orf71	0
C10orf85	0
C10orf91	0
C10orf99	0
CACNB2	0
CALML3	0
CAMK1D	3
CASC2	0
CASP7	0
CC2D2B	0
CCAR1	7
CCDC172	0
CCDC7	0
CCNJ	8
CCNY	0
CCSER2	9
CDC123	2
CDH23	0
CDHR1	0
CDK1	0
CELF2	1
CEP55	5
CFAP58	42
CFL1P1	0
CHAT	0
CHCHD1	2
CHST3	0
CISD1	6
CNNM1	0
CNNM2	55
COL13A1	0
COMMD3	0
COMMD3-BMI1	0
CREM	1
CSGALNACT2	1
CTAGE7P	0
CTSLP2	0
CUTC	0
CYP26A1	0
CYP26C1	0
CYP2C18	0
CYP2C19	0
CYP2C9	0
CYP2E1	0
DDIT4	0
DDX21	1
DDX50	4
DHTKD1	3
DKK1	0
DLG5-AS1	0
DMBT1	0
DMBT1P1	0
DNAJC9-AS1	0
DNMBP-AS1	0
DNTT	0
DOCK1	0
DPCD	0
DPYSL4	0
DUSP5	5
DYDC2	0
ECHDC3	1
EDRF1	2
EIF4EBP2	0
EIF5AL1	0
ELOVL3	0
EMX2	0
ENO4	0
ENTPD1	0
ENTPD7	1
EXOC6	0
FAM133CP	1
FAM149B1	1
FAM160B1	0
FAM170B-AS1	0
FAM175B	9
FAM178A	0
FAM208B	18
FAM213A	0
FAM21A	0
FAM21C	1
FAM24A	0
FAM25A	0
FAM25BP	0
FAM25C	0
FAM25G	0
FAM35A	0
FAM35BP	0
FAM35DP	0
FAM45A	0
FAM45B	0
FAM53B-AS1	0
FANK1	0
FAS	0
FBXL15	0
FBXO18	3
FFAR4	0
FOXI2	0
FRAT1	2
FUT11	0
FXYD4	0
GAD2	0
GATA3	0
GBF1	1
GHITM	2
GJD4	0
GLRX3	0
GLUD1P3	0
GLUD1P7	0
GOLGA7B	0
GPR123	0
GPR158	5
GPR26	0
GPRIN2	0
GRID1-AS1	0
GRK5	2
GSTO1	0
GSTO2	0
GTPBP4	1
H2AFY2	2
HABP2	12
HECTD2	0
HELLS	3
HHEX	9
HIF1AN	1
HK1	0
HKDC1	0
HMX2	0
HMX3	0
HNRNPH3	3
HOGA1	0
HPS6	0
HSD17B7P2	1
HSPA14	0
HTRA1	0
IDI2-AS1	0
IFIT1	0
IFIT1B	0
IFIT2	0
IFIT3	0
IFIT5	0
INA	0
INPP5A	0
INPP5F	4
ITIH2	0
JAKMIP3	0
JMJD1C-AS1	0
KAT6B	2
KAZALD1	0
KCNIP2-AS1	0
KCNK18	1
KIAA1217	0
KIAA1279	9
KIF11	2
KIF20B	28
KNDC1	0
LBX1-AS1	0
LCOR	7
LDB3	0
LGI1	0
LHPP	0
LINC00200	0
LINC00202-2	0
LINC00263	0
LINC00264	0
LINC00502	0
LINC00595	0
LINC00619	0
LINC00703	0
LINC00705	0
LINC00707	0
LINC00709	0
LINC00836	0
LINC00839	0
LINC00840	0
LINC00841	0
LINC00844	0
LINC00845	0
LINC00856	0
LINC00857	0
LINC00858	0
LINC00865	0
LINC00867	0
LINC00993	0
LINC00999	0
LINC01163	0
LINC01168	0
LINC01452	0
LIPF	0
LIPJ	0
LIPK	0
LIPM	0
LIPN	0
LOC100129055	0
LOC100130539	0
LOC100130992	0
LOC100288974	0
LOC100996758	0
LOC101926906	0
LOC101927396	0
LOC101927472	0
LOC101927692	0
LOC101927762	0
LOC101927964	0
LOC101928150	0
LOC101928298	0
LOC101928453	0
LOC101928781	0
LOC101928913	0
LOC101929025	0
LOC101929218	0
LOC101929234	0
LOC101929279	0
LOC101929310	0
LOC101929328	0
LOC101929662	0
LOC101929684	0
LOC102031319	0
LOC102723703	0
LOC102724316	0
LOC102724589	0
LOC103344931	0
LOC283038	0
LOC283070	0
LOC399715	0
LOC399815	0
LOC439994	0
LOC642361	0
LRRC27	0
LRRTM3	0
LYZL1	0
LZTS2	1
MALRD1	2
MAP3K8	0
MAPK8	4
MARCH5	0
MARK2P9	0
MARVELD1	0
MASTL	1
MBL1P	0
MCM10	6
MCU	2
MEIG1	0
MGMT	1
MINPP1	0
MIR1265	0
MIR146B	0
MIR3155A	0
MIR3156-1	0
MIR3158-1	0
MIR3941	0
MIR4295	0
MIR4480	0
MIR4484	0
MIR4675	0
MIR4676	0
MIR4678	0
MIR4679-1	0
MIR4680	0
MIR4681	0
MIR4682	0
MIR5100	0
MIR511	0
MIR548AV	0
MIR5586	0
MIR5692C2	0
MIR5694	0
MIR603	0
MIR605	0
MIR6078	0
MIR608	0
MIR6715A	0
MIR7152	0
MKX-AS1	0
MLLT10	3
MRC1	0
MSMB	0
MSRB2	0
MTG1	0
MTRNR2L5	0
MXI1	3
MYO3A	0
MYPN	0
NANOS1	24
NCOA4	8
NEBL-AS1	0
NET1	3
NEURL1	0
NFKB2	0
NHLRC2	2
NKX2-3	0
NOLC1	4
NPS	0
NPY4R	0
NRBF2	0
NRG3	1
NUDT13	0
NUTM2A	0
NUTM2B	0
NUTM2D	0
OIT3	0
OLAH	0
OPN4	0
OPTN	1
OTUD1	0
PALD1	0
PAOX	0
PAPSS2	0
PARD3-AS1	0
PAX2	0
PCGF5	0
PDCD11	0
PDCD4	0
PDE6C	0
PDSS1	0
PFKFB3	2
PFKP	1
PGAM1	0
PHYHIPL	1
PI4K2A	0
PITRM1-AS1	1
PLAC9	0
PLAU	0
PLCE1	7
PLEKHA1	0
PLEKHS1	0
PLXDC2	0
PNLIP	0
PNLIPRP1	0
PNLIPRP2	0
PNLIPRP3	0
PPAPDC1A	0
PPIF	5
PPP2R2D	1
PPRC1	18
PRAP1	0
PRKCQ-AS1	2
